ID_TRIAL ;ID_MOVEMENT ;STAGE ;TIME_STAMP ;TIME ;TYPE_OF_MOVEMENT ;GOAL_POS_X ;GOAL_POS_Y ;GOAL_POS_Z ;FINAL_POS_X ;FINAL_POS_Y ;FINAL_POS_Z ;GOAL_ROT_QX ;entry.1660182423;GOAL_ROT_QZ ;entry.727938622;FINAL_ROT_QX ;FINAL_ROT_QY ;FINAL_ROT_QZ ;FINAL_ROT_QW 
190605162249;162552N25;PROP_MATCHING_PLUS_RETARGETING;16:25:54 05-06-19;1581;0;0;0;0;0.218664;0.7684069;-3.049337;0;0;0;1;0.02001132;-0.009872901;-0.02784881;0.9993631
190605162249;162555N27;PROP_MATCHING_PLUS_RETARGETING;16:26:01 05-06-19;5136;0;0;0;0;-0.2187518;0.7696762;-3.056571;0;0;0;1;-0.007829449;0.004127913;-0.02683608;0.9996007
190605162249;162601N28;PROP_MATCHING_PLUS_RETARGETING;16:26:10 05-06-19;9969;0;0;0;0;0.001309454;0.8588228;-3.479271;0;0;0;1;-0.1552291;-0.3564817;-0.05339613;0.9197682
190605162249;162610N29;PROP_MATCHING_PLUS_RETARGETING;16:26:14 05-06-19;3956;0;0;0;0;-0.2172288;0.7783041;-3.057183;0;0;0;1;-0.1311699;-0.003661281;-0.009881389;0.9913039
190605162249;162614N30;PROP_MATCHING_PLUS_RETARGETING;16:26:16 05-06-19;1505;0;0;0;0;-0.2172288;0.7783041;-3.057183;0;0;0;1;-0.1311699;-0.003661281;-0.009881389;0.9913039
190605162249;162617N32;PROP_MATCHING_PLUS_RETARGETING;16:26:23 05-06-19;5356;0;0;0;0;0.2136419;0.7689881;-3.052393;0;0;0;1;0.007894739;0.02523399;-0.02277636;0.9993909
190605162249;162623N33;PROP_MATCHING_PLUS_RETARGETING;16:26:33 05-06-19;10215;0;0;0;0;0.0009255707;0.8482609;-3.471177;0;0;0;1;0.1881887;-0.407984;-0.07412419;0.8903031
190605162249;162633N34;PROP_MATCHING_PLUS_RETARGETING;16:26:37 05-06-19;4355;0;0;0;0;0.2119574;0.7702284;-3.051068;0;0;0;1;0.04009227;0.003788589;-0.02065163;0.9989754
190605162249;162637N35;PROP_MATCHING_PLUS_RETARGETING;16:26:38 05-06-19;1194;0;0;0;0;0.2119574;0.7702284;-3.051068;0;0;0;1;0.04009227;0.003788589;-0.02065163;0.9989754
190605162249;162639N37;PROP_MATCHING_PLUS_RETARGETING;16:26:46 05-06-19;6128;0;0;0;0;-0.2271846;0.7780313;-3.061654;0;0;0;1;0.04979912;0.04662379;-0.006267636;0.9976507
190605162249;162646N38;PROP_MATCHING_PLUS_RETARGETING;16:26:56 05-06-19;9988;0;0;0;0;0.003269464;0.8582907;-3.487565;0;0;0;1;0.07409432;0.4696695;0.03570826;-0.8790026
190605162249;162656N39;PROP_MATCHING_PLUS_RETARGETING;16:26:59 05-06-19;3240;0;0;0;0;-0.2135545;0.7834935;-3.057751;0;0;0;1;-0.2000082;-0.03661049;-0.01729436;0.9789572
190605162249;162659N40;PROP_MATCHING_PLUS_RETARGETING;16:27:00 05-06-19;1413;0;0;0;0;-0.2135545;0.7834935;-3.057751;0;0;0;1;-0.2000082;-0.03661049;-0.01729436;0.9789572
190605162249;162701N42;PROP_MATCHING_PLUS_RETARGETING;16:27:06 05-06-19;4783;0;0;0;0;0.2156862;0.7798281;-3.060427;0;0;0;1;0.000690504;0.001088209;-0.0003406506;0.9999992
190605162249;162706N43;PROP_MATCHING_PLUS_RETARGETING;16:27:18 05-06-19;12234;0;0;0;0;-0.001809195;0.8712621;-3.501907;0;0;0;1;-0.01888797;0.7208357;0.02171038;0.6925083
190605162249;162718N44;PROP_MATCHING_PLUS_RETARGETING;16:27:27 05-06-19;8194;0;0;0;0;0.2147486;0.7791991;-3.062182;0;0;0;1;-0.02770725;-0.00190602;-0.009961847;0.9995646
190605162249;162727N45;PROP_MATCHING_PLUS_RETARGETING;16:27:28 05-06-19;1447;0;0;0;0;0.2147486;0.7791991;-3.062182;0;0;0;1;-0.02770725;-0.00190602;-0.009961847;0.9995646
190605162249;162731N47;PROP_MATCHING_PLUS_RETARGETING;16:27:36 05-06-19;4840;0;0;0;0;-0.2185424;0.779633;-3.053818;0;0;0;1;-0.009853976;0.01149528;-0.0003688888;-0.9998854
190605162249;162736N48;PROP_MATCHING_PLUS_RETARGETING;16:28:03 05-06-19;27881;0;0;0;0;-0.0008289367;0.8576746;-3.483346;0;0;0;1;-0.1483685;0.01285813;-0.0006257459;-0.9888484
190605162249;162803N49;PROP_MATCHING_PLUS_RETARGETING;16:28:10 05-06-19;6394;0;0;0;0;-0.2142027;0.7966509;-3.069677;0;0;0;1;-0.1824624;0.02400092;0.03605796;0.9822583
190605162249;162810N50;PROP_MATCHING_PLUS_RETARGETING;16:28:11 05-06-19;1330;0;0;0;0;-0.2142027;0.7966509;-3.069677;0;0;0;1;-0.1824624;0.02400092;0.03605796;0.9822583
190605162249;163058N52;PROP_MATCHING_NO_RETARGETING;16:31:04 05-06-19;6081;0;0;0;0;0.2421175;0.8114042;-3.030984;0;0;0;1;0.163835;-0.009999949;0.1113181;0.9801359
190605162249;163104N53;PROP_MATCHING_NO_RETARGETING;16:32:08 05-06-19;64338;0;0;0;0;-1.306832E-05;0.8549571;-3.477025;0;0;0;1;0.02145686;-0.3668861;0.01571904;0.9298856
190605162249;163208N54;PROP_MATCHING_NO_RETARGETING;16:32:12 05-06-19;4143;0;0;0;0;0.2158945;0.7764349;-3.060658;0;0;0;1;-0.03369997;0.02399404;-0.01171301;0.9990753
190605162249;163212N55;PROP_MATCHING_NO_RETARGETING;16:32:13 05-06-19;1104;0;0;0;0;0.2158945;0.7764349;-3.060658;0;0;0;1;-0.03369997;0.02399404;-0.01171301;0.9990753
